Vivado Simulator 2018.2
Time resolution is 1 ps
Time = 1000, lamps = xxxxxxxxxxxxxxxx
Time = 3000, lamps = 0000000000000000
Time = 5000, lamps = 0000000000000001
Time = 7000, lamps = 0000000000000011
Time = 9000, lamps = 0000000000000111
Time = 11000, lamps = 0000000000001111
Time = 13000, lamps = 0000000000011111
Time = 15000, lamps = 0000000000111111
Time = 17000, lamps = 0000000000011111
Time = 19000, lamps = 0000000000001111
Time = 21000, lamps = 0000000000000111
Time = 23000, lamps = 0000000000000011
Time = 25000, lamps = 0000000000000001
Time = 27000, lamps = 0000000000000000
Time = 29000, lamps = 0000000000000001
Time = 31000, lamps = 0000000000000011
Time = 33000, lamps = 0000000000000111
Time = 35000, lamps = 0000000000001111
Time = 37000, lamps = 0000000000011111
Time = 39000, lamps = 0000000000111111
Time = 41000, lamps = 0000000001111111
Time = 43000, lamps = 0000000011111111
Time = 45000, lamps = 0000000111111111
Time = 47000, lamps = 0000001111111111
Time = 49000, lamps = 0000011111111111
Time = 51000, lamps = 0000001111111111
Time = 53000, lamps = 0000000111111111
Time = 55000, lamps = 0000000011111111
Time = 57000, lamps = 0000000001111111
Time = 59000, lamps = 0000000000111111
Time = 61000, lamps = 0000000000011111
Time = 63000, lamps = 0000000000111111
Time = 65000, lamps = 0000000001111111
Time = 67000, lamps = 0000000011111111
Time = 69000, lamps = 0000000111111111
Time = 71000, lamps = 0000001111111111
Time = 73000, lamps = 0000011111111111
Time = 75000, lamps = 0000111111111111
Time = 77000, lamps = 0001111111111111
Time = 79000, lamps = 0011111111111111
Time = 81000, lamps = 0111111111111111
Time = 83000, lamps = 1111111111111111
Time = 85000, lamps = 0111111111111111
Time = 87000, lamps = 0011111111111111
Time = 89000, lamps = 0001111111111111
Time = 91000, lamps = 0000111111111111
Time = 93000, lamps = 0000011111111111
Time = 95000, lamps = 0000001111111111
Time = 97000, lamps = 0000000111111111
Time = 99000, lamps = 0000000011111111
Time = 101000, lamps = 0000000001111111
Time = 103000, lamps = 0000000000111111
Time = 105000, lamps = 0000000000011111
Time = 107000, lamps = 0000000000001111
Time = 109000, lamps = 0000000000000111
Time = 111000, lamps = 0000000000000011
Time = 113000, lamps = 0000000000000001
Time = 115000, lamps = 0000000000000000
Time = 117000, lamps = 1111111111111111
Time = 119000, lamps = 0000000000000000
Time = 121000, lamps = 0000000000000000
Time = 123000, lamps = 0000000000000000
Time = 125000, lamps = 0000000000000000
Time = 127000, lamps = 0000000000000000
Time = 129000, lamps = 0000000000000000
Time = 131000, lamps = 0000000000000001
Time = 133000, lamps = 0000000000000011
Time = 135000, lamps = 0000000000000111
Time = 137000, lamps = 0000000000001111
Time = 139000, lamps = 0000000000011111
Time = 141000, lamps = 0000000000111111
Time = 143000, lamps = 0000000000011111
Time = 145000, lamps = 0000000000001111
Time = 147000, lamps = 0000000000000111
Time = 149000, lamps = 0000000000000011
Time = 151000, lamps = 0000000000000001
Time = 153000, lamps = 0000000000000000
Time = 155000, lamps = 0000000000000001
Time = 157000, lamps = 0000000000000011
Time = 159000, lamps = 0000000000000111
Time = 161000, lamps = 0000000000001111
Time = 163000, lamps = 0000000000011111
Time = 165000, lamps = 0000000000111111
Time = 167000, lamps = 0000000000011111
Time = 169000, lamps = 0000000000001111
Time = 171000, lamps = 0000000000000111
Time = 173000, lamps = 0000000000000011
Time = 175000, lamps = 0000000000000001
Time = 177000, lamps = 0000000000000000
Time = 179000, lamps = 0000000000000001
Time = 181000, lamps = 0000000000000011
Time = 183000, lamps = 0000000000000111
Time = 185000, lamps = 0000000000001111
Time = 187000, lamps = 0000000000011111
Time = 189000, lamps = 0000000000111111
Time = 191000, lamps = 0000000001111111
Time = 193000, lamps = 0000000011111111
Time = 195000, lamps = 0000000111111111
Time = 197000, lamps = 0000001111111111
Time = 199000, lamps = 0000011111111111
Time = 201000, lamps = 0000001111111111
Time = 203000, lamps = 0000000111111111
Time = 205000, lamps = 0000000011111111
Time = 207000, lamps = 0000000001111111
Time = 209000, lamps = 0000000000111111
Time = 211000, lamps = 0000000000011111
Time = 213000, lamps = 0000000000001111
Time = 215000, lamps = 0000000000000111
Time = 217000, lamps = 0000000000000011
Time = 219000, lamps = 0000000000000001
Time = 221000, lamps = 0000000000000000
Time = 223000, lamps = 0000000000000001
Time = 225000, lamps = 0000000000000011
Time = 227000, lamps = 0000000000000111
Time = 229000, lamps = 0000000000001111
Time = 231000, lamps = 0000000000011111
Time = 233000, lamps = 0000000000111111
Time = 235000, lamps = 0000000001111111
Time = 237000, lamps = 0000000011111111
Time = 239000, lamps = 0000000111111111
Time = 241000, lamps = 0000001111111111
Time = 243000, lamps = 0000011111111111
Time = 245000, lamps = 0000001111111111
Time = 247000, lamps = 0000000111111111
Time = 249000, lamps = 0000000011111111
Time = 251000, lamps = 0000000001111111
Time = 253000, lamps = 0000000000111111
Time = 255000, lamps = 0000000000011111
Time = 257000, lamps = 0000000000111111
Time = 259000, lamps = 0000000000011111
Time = 261000, lamps = 0000000000111111
Time = 263000, lamps = 0000000000011111
Time = 265000, lamps = 0000000000111111
Time = 267000, lamps = 0000000000011111
Time = 269000, lamps = 0000000000111111
Time = 271000, lamps = 0000000001111111
Time = 273000, lamps = 0000000011111111
Time = 275000, lamps = 0000000111111111
Time = 277000, lamps = 0000001111111111
Time = 279000, lamps = 0000011111111111
Time = 281000, lamps = 0000001111111111
Time = 283000, lamps = 0000000111111111
Time = 285000, lamps = 0000000011111111
Time = 287000, lamps = 0000000001111111
Time = 289000, lamps = 0000000000111111
Time = 291000, lamps = 0000000000011111
Time = 293000, lamps = 0000000000111111
Time = 295000, lamps = 0000000000011111
Time = 297000, lamps = 0000000000111111
Time = 299000, lamps = 0000000001111111
Time = 301000, lamps = 0000000011111111
Time = 303000, lamps = 0000000111111111
Time = 305000, lamps = 0000001111111111
Time = 307000, lamps = 0000011111111111
Time = 309000, lamps = 0000111111111111
Time = 311000, lamps = 0001111111111111
Time = 313000, lamps = 0011111111111111
Time = 315000, lamps = 0111111111111111
Time = 317000, lamps = 1111111111111111
Time = 319000, lamps = 0111111111111111
Time = 321000, lamps = 0011111111111111
Time = 323000, lamps = 0001111111111111
Time = 325000, lamps = 0000111111111111
Time = 327000, lamps = 0000011111111111
Time = 329000, lamps = 0000001111111111
Time = 331000, lamps = 0000000111111111
Time = 333000, lamps = 0000000011111111
Time = 335000, lamps = 0000000001111111
Time = 337000, lamps = 0000000000111111
Time = 339000, lamps = 0000000000011111
Time = 341000, lamps = 0000000000001111
Time = 343000, lamps = 0000000000000111
Time = 345000, lamps = 0000000000000011
Time = 347000, lamps = 0000000000000001
Time = 349000, lamps = 0000000000000000
Time = 351000, lamps = 1111111111111111
Time = 353000, lamps = 0000000000000000
Time = 355000, lamps = 0000000000000000
Time = 357000, lamps = 0000000000000000
Time = 359000, lamps = 0000000000000000
Time = 361000, lamps = 0000000000000000
Time = 363000, lamps = 0000000000000001
Time = 365000, lamps = 0000000000000011
Time = 367000, lamps = 0000000000000111
Time = 369000, lamps = 0000000000001111
Time = 371000, lamps = 0000000000011111
Time = 373000, lamps = 0000000000111111
Time = 375000, lamps = 0000000000011111
Time = 377000, lamps = 0000000000001111
Time = 379000, lamps = 0000000000000111
Time = 381000, lamps = 0000000000000011
Time = 383000, lamps = 0000000000000001
Time = 385000, lamps = 0000000000000000
Time = 387000, lamps = 0000000000000001
Time = 389000, lamps = 0000000000000011
Time = 391000, lamps = 0000000000000111
Time = 393000, lamps = 0000000000001111
Time = 395000, lamps = 0000000000011111
Time = 397000, lamps = 0000000000111111
Time = 399000, lamps = 0000000001111111
Time = 401000, lamps = 0000000011111111
Time = 403000, lamps = 0000000111111111
Time = 405000, lamps = 0000001111111111
Time = 407000, lamps = 0000011111111111
Time = 409000, lamps = 0000001111111111
Time = 411000, lamps = 0000000111111111
Time = 413000, lamps = 0000000011111111
Time = 415000, lamps = 0000000001111111
Time = 417000, lamps = 0000000000111111
Time = 419000, lamps = 0000000000011111
Time = 421000, lamps = 0000000000111111
Time = 423000, lamps = 0000000001111111
Time = 425000, lamps = 0000000011111111
Time = 427000, lamps = 0000000111111111
Time = 429000, lamps = 0000001111111111
Time = 431000, lamps = 0000011111111111
Time = 433000, lamps = 0000111111111111
Time = 435000, lamps = 0001111111111111
Time = 437000, lamps = 0011111111111111
Time = 439000, lamps = 0111111111111111
Time = 441000, lamps = 1111111111111111
Time = 443000, lamps = 0111111111111111
Time = 445000, lamps = 0011111111111111
Time = 447000, lamps = 0001111111111111
Time = 449000, lamps = 0000111111111111
Time = 451000, lamps = 0000011111111111
Time = 453000, lamps = 0000001111111111
Time = 455000, lamps = 0000000111111111
Time = 457000, lamps = 0000000011111111
Time = 459000, lamps = 0000000001111111
Time = 461000, lamps = 0000000000111111
Time = 463000, lamps = 0000000000011111
Time = 465000, lamps = 0000000000001111
Time = 467000, lamps = 0000000000000111
Time = 469000, lamps = 0000000000000011
Time = 471000, lamps = 0000000000000001
Time = 473000, lamps = 0000000000000000
Time = 475000, lamps = 1111111111111111
Time = 477000, lamps = 0000000000000000
Time = 479000, lamps = 0000000000000000
Time = 481000, lamps = 0000000000000000
Time = 483000, lamps = 0000000000000000
Time = 485000, lamps = 0000000000000000
Time = 487000, lamps = 0000000000000001
Time = 489000, lamps = 0000000000000011
Time = 491000, lamps = 0000000000000111
Time = 493000, lamps = 0000000000001111
Time = 495000, lamps = 0000000000011111
Time = 497000, lamps = 0000000000111111
Time = 499000, lamps = 0000000000011111
Time = 501000, lamps = 0000000000001111
Time = 503000, lamps = 0000000000000111
Time = 505000, lamps = 0000000000000011
Time = 507000, lamps = 0000000000000001
Time = 509000, lamps = 0000000000000000
Time = 511000, lamps = 0000000000000001
Time = 513000, lamps = 0000000000000011
Time = 515000, lamps = 0000000000000111
Time = 517000, lamps = 0000000000001111
Time = 519000, lamps = 0000000000011111
Time = 521000, lamps = 0000000000111111
Time = 523000, lamps = 0000000001111111
Time = 525000, lamps = 0000000011111111
Time = 527000, lamps = 0000000111111111
Time = 529000, lamps = 0000001111111111
Time = 531000, lamps = 0000011111111111
Time = 533000, lamps = 0000001111111111
Time = 535000, lamps = 0000000111111111
Time = 537000, lamps = 0000000011111111
Time = 539000, lamps = 0000000001111111
Time = 541000, lamps = 0000000000111111
Time = 543000, lamps = 0000000000011111
Time = 545000, lamps = 0000000000111111
Time = 547000, lamps = 0000000001111111
Time = 549000, lamps = 0000000011111111
Time = 551000, lamps = 0000000111111111
Time = 553000, lamps = 0000001111111111
Time = 555000, lamps = 0000011111111111
Time = 557000, lamps = 0000111111111111
Time = 559000, lamps = 0000000000000000
Time = 561000, lamps = 0000000000000000
Time = 563000, lamps = 0000000000000000
Time = 565000, lamps = 0000000000000000
Time = 567000, lamps = 0000000000000000
Time = 569000, lamps = 0000000000000000
Time = 571000, lamps = 0000000000000001
Time = 573000, lamps = 0000000000000011
Time = 575000, lamps = 0000000000000111
Time = 577000, lamps = 0000000000001111
Time = 579000, lamps = 0000000000011111
Time = 581000, lamps = 0000000000111111
Time = 583000, lamps = 0000000000011111
Time = 585000, lamps = 0000000000001111
Time = 587000, lamps = 0000000000000111
Time = 589000, lamps = 0000000000000011
Time = 591000, lamps = 0000000000000001
Time = 593000, lamps = 0000000000000000
Time = 595000, lamps = 0000000000000001
Time = 597000, lamps = 0000000000000011
Time = 599000, lamps = 0000000000000000
Time = 601000, lamps = 0000000000000000
Time = 603000, lamps = 0000000000000000
Time = 605000, lamps = 0000000000000000
Time = 607000, lamps = 0000000000000000
Time = 609000, lamps = 0000000000000000
Time = 611000, lamps = 0000000000000000
Time = 613000, lamps = 0000000000000000
Time = 615000, lamps = 0000000000000000
Time = 617000, lamps = 0000000000000000
Time = 619000, lamps = 0000000000000000
Time = 621000, lamps = 0000000000000000
Time = 623000, lamps = 0000000000000000
Time = 625000, lamps = 0000000000000000
Time = 627000, lamps = 0000000000000000
Time = 629000, lamps = 0000000000000000
Time = 631000, lamps = 0000000000000000
Time = 633000, lamps = 0000000000000000
Time = 635000, lamps = 0000000000000000
Time = 637000, lamps = 0000000000000000
Time = 639000, lamps = 0000000000000000
Time = 641000, lamps = 0000000000000000
Time = 643000, lamps = 0000000000000000
Time = 645000, lamps = 0000000000000000
Time = 647000, lamps = 0000000000000000
Time = 649000, lamps = 0000000000000000
Time = 651000, lamps = 0000000000000000
Time = 653000, lamps = 0000000000000000
Time = 655000, lamps = 0000000000000000
Time = 657000, lamps = 0000000000000000
Time = 659000, lamps = 0000000000000000
Time = 661000, lamps = 0000000000000000
Time = 663000, lamps = 0000000000000000
Time = 665000, lamps = 0000000000000000
Time = 667000, lamps = 0000000000000000
Time = 669000, lamps = 0000000000000000
Time = 671000, lamps = 0000000000000000
Time = 673000, lamps = 0000000000000000
Time = 675000, lamps = 0000000000000000
Time = 677000, lamps = 0000000000000000
Time = 679000, lamps = 0000000000000000
Time = 681000, lamps = 0000000000000000
Time = 683000, lamps = 0000000000000000
Time = 685000, lamps = 0000000000000000
Time = 687000, lamps = 0000000000000000
Time = 689000, lamps = 0000000000000000
Time = 691000, lamps = 0000000000000000
Time = 693000, lamps = 0000000000000000
Time = 695000, lamps = 0000000000000000
Time = 697000, lamps = 0000000000000000
Time = 699000, lamps = 0000000000000000
Time = 701000, lamps = 0000000000000000
Time = 703000, lamps = 0000000000000000
Time = 705000, lamps = 0000000000000000
Time = 707000, lamps = 0000000000000000
Time = 709000, lamps = 0000000000000000
Time = 711000, lamps = 0000000000000000
Time = 713000, lamps = 0000000000000000
Time = 715000, lamps = 0000000000000000
Time = 717000, lamps = 0000000000000000
Time = 719000, lamps = 0000000000000000
Time = 721000, lamps = 0000000000000000
Time = 723000, lamps = 0000000000000000
Time = 725000, lamps = 0000000000000000
Time = 727000, lamps = 0000000000000000
Time = 729000, lamps = 0000000000000000
Time = 731000, lamps = 0000000000000000
Time = 733000, lamps = 0000000000000000
Time = 735000, lamps = 0000000000000000
Time = 737000, lamps = 0000000000000000
